Country Name,Series Name,2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2001 [YR2001],2000 [YR2000],1999 [YR1999],1998 [YR1998],1997 [YR1997]
Australia,Domestic credit to private sector (% of GDP),136.4262119,128.5014298,124.7668125,121.2256762,122.1812332,125.2256151,122.5249389,121.7625535,120.5936368,113.6789572,108.4935712,102.6672703,99.18584056,91.26741235,88.42232662,87.60312764,84.11115702,79.11335216,75.323737
Australia,GDP growth (annual %),2.152735906,2.579017112,2.578754288,3.902007806,2.391385132,2.20656631,1.870486961,3.568270032,3.777916783,2.740635704,3.15375271,4.216633273,3.111398208,3.993589865,2.041417338,3.901171371,4.956324506,4.613356892,3.912835473
Australia,Gross capital formation (annual % growth),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,Gross fixed capital formation (annual % growth),-3.692191983,-1.888988544,2.891395445,11.60255135,3.599835104,1.747858355,1.524256596,8.762021523,4.519347683,8.273623067,6.093930929,8.735426137,12.56651199,9.124312422,-7.943064449,8.093819968,4.439288406,9.743129781,6.637866446
Australia,GDP per capita (constant LCU),77397.2702,76864.54828,76058.07629,75433.24346,73878.97166,73163.09417,72705.89291,72857.0051,71770.74752,70431.73413,69484.30587,68184.91724,66129.42508,64875.8849,63098.20318,62634.94675,60977.08389,58736.64201,56708.83688
Australia,GDP (constant LCU),1.84329E+12,1.80445E+12,1.75908E+12,1.71486E+12,1.65046E+12,1.61191E+12,1.57711E+12,1.54815E+12,1.49481E+12,1.4404E+12,1.40197E+12,1.35911E+12,1.30412E+12,1.26477E+12,1.2162E+12,1.19187E+12,1.14712E+12,1.09295E+12,1.04475E+12
Australia,GDP per capita (constant 2015 US$),56708.9612,56318.63598,55727.73415,55269.91928,54131.10471,53606.58144,53271.59019,53382.31006,52586.40939,51605.3146,50911.13414,49959.07241,48453.0138,47534.54521,46232.03825,45892.61037,44677.89465,43036.32342,41550.5511
Australia,Gross fixed capital formation (constant LCU),4.63542E+11,4.81313E+11,4.9058E+11,4.76794E+11,4.27225E+11,4.1238E+11,4.05296E+11,3.99211E+11,3.6705E+11,3.51179E+11,3.24344E+11,3.05714E+11,2.81154E+11,2.49767E+11,2.28883E+11,2.48632E+11,2.30015E+11,2.20238E+11,2.00685E+11
Australia,GDP per capita (current LCU),68160.28472,68095.85884,66434.16768,65989.76443,63491.56115,59188.08084,58144.99245,55491.64465,52251.95656,48843.85412,45840.96502,43326.74684,40703.04269,38780.50044,36674.81016,34797.77655,33031.00573,31665.58324,30213.69387
Australia,General government final consumption expenditure (% of GDP),19.09844422,18.68913804,18.77073709,18.81665885,18.58131998,18.75566039,18.35361594,18.02200393,18.10529237,18.23949048,18.3239524,18.24448253,18.35506432,18.29031499,18.47598515,18.46970521,18.67480544,18.25939377,18.26498128
Australia,Trade (% of GDP),41.62310841,42.47174241,41.27489915,43.1667351,41.84255109,40.52033064,45.74675662,42.86407277,42.03654561,41.58778021,39.18259407,37.02971214,40.2223014,41.47167985,44.25035649,40.96698683,39.05611309,39.99405994,37.98335693
Australia,"Inflation, GDP deflator (annual %)",-0.594336116,1.425804433,-0.15361047,1.793168355,6.231415874,1.157826189,4.999305011,4.616742737,4.98168606,5.117377115,3.824360396,3.23706174,2.967937546,2.844064555,4.620333415,2.560383552,0.479338835,1.187133418,1.274310536
Austria,Domestic credit to private sector (% of GDP),85.89120788,87.55558785,92.55775212,94.22379903,96.06109929,98.52832394,97.73957467,95.81296636,92.91988389,94.43760642,94.32410576,87.76584573,87.80636589,88.52152557,89.71336188,..,..,..,..
Austria,GDP growth (annual %),1.014501586,0.661272849,0.025504712,0.680445577,2.922797284,1.837093677,-3.764578178,1.460423676,3.727415301,3.454041836,2.244065325,2.735120222,0.941470921,1.651553922,1.267168189,3.375722147,3.556331247,3.581425815,2.09359939
