,Code,Year,Banking_crisis_dummy
0,DEA,1997.0,
1,DEA,1998.0,
2,DEA,1999.0,
3,DEA,2000.0,
4,DEA,2001.0,
5,DEA,2002.0,
6,DEA,2003.0,
7,DEA,2004.0,
8,DEA,2005.0,
9,DEA,2006.0,
10,DEA,2007.0,
11,DEA,2008.0,
12,DEA,2009.0,
13,DEA,2010.0,
14,DEA,2011.0,
15,DEA,2012.0,
16,DEA,2013.0,
17,DEA,2014.0,
18,DEA,2015.0,
19,DEC,1997.0,
20,DEC,1998.0,
21,DEC,1999.0,
22,DEC,2000.0,
23,DEC,2001.0,
24,DEC,2002.0,
25,DEC,2003.0,
26,DEC,2004.0,
27,DEC,2005.0,
28,DEC,2006.0,
29,DEC,2007.0,
30,DEC,2008.0,
31,DEC,2009.0,
32,DEC,2010.0,
33,DEC,2011.0,
34,DEC,2012.0,
35,DEC,2013.0,
36,DEC,2014.0,
37,DEC,2015.0,
38,IBD,1997.0,
39,IBD,1998.0,
40,IBD,1999.0,
41,IBD,2000.0,
42,IBD,2001.0,
43,IBD,2002.0,
44,IBD,2003.0,
45,IBD,2004.0,
46,IBD,2005.0,
47,IBD,2006.0,
48,IBD,2007.0,
49,IBD,2008.0,
50,IBD,2009.0,
51,IBD,2010.0,
52,IBD,2011.0,
53,IBD,2012.0,
54,IBD,2013.0,
55,IBD,2014.0,
56,IBD,2015.0,
57,IDA,1997.0,
58,IDA,1998.0,
59,IDA,1999.0,
60,IDA,2000.0,
61,IDA,2001.0,
62,IDA,2002.0,
63,IDA,2003.0,
64,IDA,2004.0,
65,IDA,2005.0,
66,IDA,2006.0,
67,IDA,2007.0,
68,IDA,2008.0,
69,IDA,2009.0,
70,IDA,2010.0,
71,IDA,2011.0,
72,IDA,2012.0,
73,IDA,2013.0,
74,IDA,2014.0,
75,IDA,2015.0,
76,DLA,1997.0,
77,DLA,1998.0,
78,DLA,1999.0,
79,DLA,2000.0,
80,DLA,2001.0,
81,DLA,2002.0,
82,DLA,2003.0,
83,DLA,2004.0,
84,DLA,2005.0,
85,DLA,2006.0,
86,DLA,2007.0,
87,DLA,2008.0,
88,DLA,2009.0,
89,DLA,2010.0,
90,DLA,2011.0,
91,DLA,2012.0,
92,DLA,2013.0,
93,DLA,2014.0,
94,DLA,2015.0,
95,LDC,1997.0,
96,LDC,1998.0,
97,LDC,1999.0,
98,LDC,2000.0,
99,LDC,2001.0,
100,LDC,2002.0,
101,LDC,2003.0,
102,LDC,2004.0,
103,LDC,2005.0,
104,LDC,2006.0,
105,LDC,2007.0,
106,LDC,2008.0,
107,LDC,2009.0,
108,LDC,2010.0,
109,LDC,2011.0,
110,LDC,2012.0,
111,LDC,2013.0,
112,LDC,2014.0,
113,LDC,2015.0,
114,DMN,1997.0,
115,DMN,1998.0,
116,DMN,1999.0,
117,DMN,2000.0,
118,DMN,2001.0,
119,DMN,2002.0,
120,DMN,2003.0,
121,DMN,2004.0,
122,DMN,2005.0,
123,DMN,2006.0,
124,DMN,2007.0,
125,DMN,2008.0,
126,DMN,2009.0,
127,DMN,2010.0,
128,DMN,2011.0,
129,DMN,2012.0,
130,DMN,2013.0,
131,DMN,2014.0,
132,DMN,2015.0,
133,SID,1997.0,
134,SID,1998.0,
135,SID,1999.0,
136,SID,2000.0,
137,SID,2001.0,
138,SID,2002.0,
139,SID,2003.0,
140,SID,2004.0,
141,SID,2005.0,
142,SID,2006.0,
143,SID,2007.0,
144,SID,2008.0,
145,SID,2009.0,
146,SID,2010.0,
147,SID,2011.0,
148,SID,2012.0,
149,SID,2013.0,
150,SID,2014.0,
151,SID,2015.0,
152,DSA,1997.0,
153,DSA,1998.0,
154,DSA,1999.0,
155,DSA,2000.0,
156,DSA,2001.0,
157,DSA,2002.0,
158,DSA,2003.0,
159,DSA,2004.0,
160,DSA,2005.0,
161,DSA,2006.0,
162,DSA,2007.0,
163,DSA,2008.0,
164,DSA,2009.0,
165,DSA,2010.0,
166,DSA,2011.0,
167,DSA,2012.0,
168,DSA,2013.0,
169,DSA,2014.0,
170,DSA,2015.0,
171,DSS,1997.0,
172,DSS,1998.0,
173,DSS,1999.0,
174,DSS,2000.0,
175,DSS,2001.0,
176,DSS,2002.0,
177,DSS,2003.0,
178,DSS,2004.0,
179,DSS,2005.0,
180,DSS,2006.0,
181,DSS,2007.0,
182,DSS,2008.0,
183,DSS,2009.0,
184,DSS,2010.0,
185,DSS,2011.0,
186,DSS,2012.0,
187,DSS,2013.0,
188,DSS,2014.0,
189,DSS,2015.0,
190,AFG,1997.0,0.0
191,AFG,1998.0,0.0
192,AFG,1999.0,0.0
193,AFG,2000.0,0.0
194,AFG,2001.0,0.0
195,AFG,2002.0,0.0
196,AFG,2003.0,0.0
197,AFG,2004.0,0.0
198,AFG,2005.0,0.0
199,AFG,2006.0,0.0
200,AFG,2007.0,0.0
201,AFG,2008.0,0.0
202,AFG,2009.0,0.0
203,AFG,2010.0,0.0
204,AFG,2011.0,0.0
205,AFG,2012.0,0.0
206,AFG,2013.0,0.0
207,AFG,2014.0,0.0
208,AFG,2015.0,0.0
209,ALB,1997.0,0.0
210,ALB,1998.0,0.0
211,ALB,1999.0,0.0
212,ALB,2000.0,0.0
213,ALB,2001.0,0.0
214,ALB,2002.0,0.0
215,ALB,2003.0,0.0
216,ALB,2004.0,0.0
217,ALB,2005.0,0.0
218,ALB,2006.0,0.0
219,ALB,2007.0,0.0
220,ALB,2008.0,0.0
221,ALB,2009.0,0.0
222,ALB,2010.0,0.0
223,ALB,2011.0,0.0
224,ALB,2012.0,0.0
225,ALB,2013.0,0.0
226,ALB,2014.0,0.0
227,ALB,2015.0,0.0
228,DZA,1997.0,0.0
229,DZA,1998.0,0.0
230,DZA,1999.0,0.0
231,DZA,2000.0,0.0
232,DZA,2001.0,0.0
233,DZA,2002.0,0.0
234,DZA,2003.0,0.0
235,DZA,2004.0,0.0
236,DZA,2005.0,0.0
237,DZA,2006.0,0.0
238,DZA,2007.0,0.0
239,DZA,2008.0,0.0
240,DZA,2009.0,0.0
241,DZA,2010.0,0.0
242,DZA,2011.0,0.0
243,DZA,2012.0,0.0
244,DZA,2013.0,0.0
245,DZA,2014.0,0.0
246,DZA,2015.0,0.0
247,AND,1997.0,0.0
248,AND,1998.0,0.0
249,AND,1999.0,0.0
250,AND,2000.0,0.0
251,AND,2001.0,0.0
252,AND,2002.0,0.0
253,AND,2003.0,0.0
254,AND,2004.0,0.0
255,AND,2005.0,0.0
256,AND,2006.0,0.0
257,AND,2007.0,0.0
258,AND,2008.0,0.0
259,AND,2009.0,0.0
260,AND,2010.0,0.0
261,AND,2011.0,0.0
262,AND,2012.0,0.0
263,AND,2013.0,0.0
264,AND,2014.0,0.0
265,AND,2015.0,0.0
266,AGO,1997.0,0.0
267,AGO,1998.0,0.0
268,AGO,1999.0,0.0
269,AGO,2000.0,0.0
270,AGO,2001.0,0.0
271,AGO,2002.0,0.0
272,AGO,2003.0,0.0
273,AGO,2004.0,0.0
274,AGO,2005.0,0.0
275,AGO,2006.0,0.0
276,AGO,2007.0,0.0
277,AGO,2008.0,0.0
278,AGO,2009.0,0.0
279,AGO,2010.0,0.0
280,AGO,2011.0,0.0
281,AGO,2012.0,0.0
282,AGO,2013.0,0.0
283,AGO,2014.0,0.0
284,AGO,2015.0,0.0
285,ATG,1997.0,0.0
286,ATG,1998.0,0.0
287,ATG,1999.0,0.0
