Country Name,Country Code,Series Name,1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],time_range01
Australia,AUS,Domestic credit to private sector (% of GDP),75.323737,79.11335216,84.11115702,87.60312764,88.42232662,91.26741235,3.299936549
Austria,AUT,Domestic credit to private sector (% of GDP),..,..,..,..,89.71336188,88.52152557,..
Belgium,BEL,Domestic credit to private sector (% of GDP),..,..,..,..,66.29922874,64.13292449,..
Chile,CHL,Domestic credit to private sector (% of GDP),..,..,..,..,73.08169596,74.34609828,..
Czechia,CZE,Domestic credit to private sector (% of GDP),64.56208042,56.79050683,51.46866621,44.93692927,37.11072666,23.66496692,-1.471148827
Denmark,DNK,Domestic credit to private sector (% of GDP),31.5121079,34.32055777,34.08071682,131.9684843,138.830011,141.6030651,9.362425654
Estonia,EST,Domestic credit to private sector (% of GDP),..,..,..,..,..,..,..
Finland,FIN,Domestic credit to private sector (% of GDP),..,..,..,..,52.64910515,55.41920442,..
France,FRA,Domestic credit to private sector (% of GDP),..,..,..,..,76.97940297,76.07063621,..
Germany,DEU,Domestic credit to private sector (% of GDP),..,..,..,..,112.4173232,111.4307275,..
Greece,GRC,Domestic credit to private sector (% of GDP),..,..,..,..,50.08139299,53.34159654,..
Hungary,HUN,Domestic credit to private sector (% of GDP),23.5164513,23.37687969,25.51020636,31.88472424,32.64294903,34.35830547,2.227740517
Iceland,ISL,Domestic credit to private sector (% of GDP),65.02889874,62.37377956,70.9675909,93.52969513,95.10071536,100.5556734,1.631993856
Ireland,IRL,Domestic credit to private sector (% of GDP),..,..,..,..,71.77639788,75.40688795,..
Israel,ISR,Domestic credit to private sector (% of GDP),62.16831105,66.50926359,69.39530735,70.4826777,74.51762186,77.32296235,0.309446814
Italy,ITA,Domestic credit to private sector (% of GDP),..,..,..,..,60.34992479,62.06225768,..
