Country,Year,Portfolio_investment_assets,Real_Expenditure_GDP,Portfolio_investment_debt,Portfolio_investment_equity,Real_Public_GDP,Real_Priv_GDP,Real_Priv_GDP_Machine,Real_Expenditure_GDP_Gross_Fixed,Portfolio_investment_liab,Real_Priv_GDP_HH,Invest_net_liab,Real_Priv_GDP_Building,Real_Priv_GDP_HH_NP,Real_Public_GDP_Gov
El Salvador,1997.0,,,,,,,,,356.950314106225,,115.917201998572,,,
El Salvador,1998.0,,,,,,,,,130.49685893775,,-226.384922901199,,,
El Salvador,1999.0,2.10165619645917,,1.7,0.0,,,,,205.002855511137,,75.2,,,
El Salvador,2000.0,10.9994288977727,313.679325016216,8.9,0.0,260.847666574794,,,,202.798400913764,323.86627473143,-16.8,,,
El Salvador,2001.0,134.73,319.789301380724,126.5,0.0,276.277573250749,,,,350.3,328.180129159858,153.1,,,
El Salvador,2002.0,335.71,322.90325543851,289.2,0.0,282.695970718918,,,,948.67937,330.650927636077,557.2,,,
El Salvador,2003.0,599.17,325.783395651082,263.7,0.0,287.022649167561,,,,1402.5,333.247093216481,452.8,,,
El Salvador,2004.0,811.311,331.552621546428,124.76,0.0,295.417410213951,,,,1569.6,338.517559720289,181.9,,,
El Salvador,2005.0,677.635838,19940.4786448541,9.9,-48.6,2761.75698592748,1875.55123209094,1955.87912832453,3831.43036041547,1785.9507995,17194.5356938037,86.4,0.0,17047.8121493976,0.0
El Salvador,2006.0,614.912879,20850.3748816601,6.6,-56.3,2900.20645646323,2060.0637493297,2082.10001386131,4142.16376319102,2719.2560895,17966.6254501558,715.1,0.0,17855.499124866,0.0
El Salvador,2007.0,685.464517,22111.4879958185,169.3,-65.9,2896.77110058579,2093.90600274603,2299.79727281641,4393.70327556245,2618.671803,19235.5221601851,-63.4,0.0,19111.7087591526,0.0
El Salvador,2008.0,486.27517,22204.3983108849,-392.2,196.46,3065.84305270391,2207.86442951679,2083.51121593615,4291.37564545294,1572.63855,19152.7357905902,-65.1,0.0,19026.0794215125,0.0
El Salvador,2009.0,113.522,20956.2334430447,-1.2,-349.0,3061.75083582504,2008.91274113632,1577.07577730267,3585.98851843899,2236.624764,17908.5979398002,396.9,0.0,17753.9317872787,0.0
El Salvador,2010.0,235.53975836,21206.961351458,122.03046486,-3.832016,3140.95929833124,1841.73461501503,1362.76048499874,3204.49510001376,2850.307,18077.3021399284,-3.2,0.0,17913.2449105293,0.0
El Salvador,2011.0,133.34661916,21836.7716090555,-102.1931392,4.61225495000001,3480.95228402348,1960.97621227719,1588.21306194711,3549.1892742243,2797.69164233,18358.5067453127,1.0,0.0,18182.3620609545,0.0
El Salvador,2012.0,124.104299999999,22498.6186025636,-26.938633340001,-7.36931203000001,3546.71712241805,1951.25633853847,1697.10066106667,3648.35699960513,3943.446123,18952.5555471801,836.29962,0.0,18788.662094753,0.0
El Salvador,2013.0,102.587549999885,23253.0698858813,-21.516750000114,0.24642603,3644.3056376832,1928.79426806966,1930.01759162241,3858.81185969207,3550.025748,19608.7446358826,-7.8,0.0,19445.7786555034,0.0
El Salvador,2014.0,806.56374601,23181.2309997677,67.021712290115,0.0770817699999999,3604.6033627321,1905.69597800804,1583.81388386825,3489.50986187628,4818.275039,19576.6276370356,861.3,0.0,19421.8699774565,0.0
El Salvador,2015.0,801.931859446667,23838.552607837,-59.4277515833333,1.519504,3678.84634121898,1940.45875133962,1863.45298721175,3803.91173855136,4028.465182,20159.706266618,0.900000000000006,0.0,19974.3451900349,0.0
Israel,1997.0,2263.9,478903.1,39.7,-166.0,169445.5,60772.0,40082.2,171892.8,15058.0,310850.9,2925.0,48665.6,301921.1,81782.1
Israel,1998.0,2527.8,500913.3,255.3,-153.5,173304.2,57474.9,39544.0,167575.2,17068.0,328714.4,1956.2,46950.7,319430.6,83996.3
Israel,1999.0,3608.7,518271.7,1126.6,174.0,176377.7,53426.6,45230.1,168387.3,18202.9,342829.0,1120.2,41300.9,332413.9,85044.6
Israel,2000.0,4903.4,550988.2,1340.1,1972.0,179405.3,50692.9,48070.4,173296.1,18716.9,371956.5,618.8,41513.9,360794.3,85998.5
Israel,2001.0,6086.9,572346.1,1207.8,32.0,185558.5,48133.0,47769.7,170201.7,18088.9,387146.6,-489.1,40398.1,375622.2,88989.2
Israel,2002.0,8946.9,586746.7,2594.8,50.3,193558.3,49673.5,42363.1,164088.6,18456.3,393832.1,274.1,40946.1,381356.1,94065.9
Israel,2003.0,11466.7,584598.7,2192.7,1054.3,189982.5,49603.3,39891.6,155857.7,20162.8,395173.2,1421.6,38847.4,383003.9,91931.5
Israel,2004.0,13573.6,603192.8,1704.0,1149.4,188039.9,46884.9,44134.2,154241.0,22461.0,415420.4,2497.3,31750.7,402846.8,89146.7
Israel,2005.0,17106.3,620988.4,4601.2,3361.3,191822.1,48480.3,46694.4,160400.8,22514.8,429372.9,207.5,30374.8,416889.8,91302.8
Israel,2006.0,22025.8,647196.9,3440.6,2906.3,195673.0,46019.2,51234.8,171826.5,25043.9,451574.9,2229.9,36739.9,439431.1,93669.2
Israel,2007.0,25190.5,688134.3,1103.3,2034.4,202532.2,48191.1,60518.7,187900.1,23464.0,485480.8,-1911.2,38828.6,472190.6,96682.6
Israel,2008.0,20525.7,701126.2,-655.5,2289.7,206056.2,50211.5,63997.3,196807.5,22589.2,494905.3,-810.6,37752.4,480986.0,97809.0
Israel,2009.0,24088.5,713764.1,1128.7,7126.1,214378.5,53331.5,52865.4,187254.5,23636.4,499442.0,1346.6,35981.7,485353.8,101196.5
Israel,2010.0,28411.9,743394.0,2530.6,6326.3,219607.7,60146.3,60637.2,205193.5,33838.2,523634.8,10025.5,39625.2,509385.4,103251.7
Israel,2011.0,29272.6,771320.5,-165.1,3618.9,225873.4,66159.4,73727.8,229603.5,29676.0,545205.6,-3655.4,43628.5,530571.8,105633.5
Israel,2012.0,34536.3,793594.8,3627.3,3932.0,233463.0,71568.1,69919.0,241600.7,26541.9,559941.0,-3247.7,48401.9,545070.9,108874.6
Israel,2013.0,39353.6,822534.8,3385.1,5940.0,242737.1,73356.4,68753.9,249217.0,26335.5,579698.1,-1009.5,54341.1,564763.5,112645.9
Israel,2014.0,45759.0,852511.2,7257.9,3053.8,250477.4,75030.1,71434.9,250491.8,30758.0,601930.1,5855.0,51328.9,587409.2,116963.0
Israel,2015.0,53481.8,884277.2,8303.8,1542.7,258316.5,77722.2,66461.3,248194.1,28609.7,625960.7,-1766.8,53977.3,611157.5,120224.8
United Kingdom,1997.0,609618.7946,1150351.0,92013.2484864768,-7012.77244600936,266195.0,69117.0,55035.0,254649.0,465354.513,884424.0,35804.8752462713,89483.0,848548.0,104344.0
United Kingdom,1998.0,665704.4205,1196575.0,48275.3607792576,4954.32199156062,276381.0,67449.0,60119.0,271984.0,483449.697,920379.0,-28016.1875901978,96005.0,883783.0,108648.0
United Kingdom,1999.0,623793.006,1246252.0,19844.5889499937,2051.14437936872,286076.0,70297.0,62948.0,277337.0,534787.5564,960026.0,140321.176691379,96470.0,922458.0,112184.0
United Kingdom,2000.0,669347.2008,1300635.0,71534.4746721987,30825.783913867,295483.0,74651.0,67575.0,290555.0,615472.812,1004475.0,119833.16581915,95885.0,965407.0,116227.0
United Kingdom,2001.0,806902.4824,1347039.0,159316.297957648,25349.8501856355,308184.0,75786.0,69213.0,293753.0,651893.8832,1038467.0,58394.5722295398,96695.0,998428.0,121371.0
United Kingdom,2002.0,853369.1218,1389260.0,-44411.1560875749,25518.8489065833,320801.0,84360.0,73609.0,301519.0,822163.062,1068415.0,95841.9694477242,91064.0,1027215.0,126737.0
United Kingdom,2003.0,996244.525799999,1440389.0,31886.8494461487,7176.11388027779,335165.0,89018.0,71108.0,310260.0,1049446.4328,1105391.0,169265.05218805,94650.0,1062730.0,133421.0
United Kingdom,2004.0,1211491.8954,1486314.0,164407.367386151,69701.0296918453,349310.0,94037.0,71402.0,318112.0,1336096.1664,1137344.0,219719.276370344,97909.0,1093355.0,140058.0
United Kingdom,2005.0,1190521.66,1526097.0,105528.304651835,148607.721393112,357725.0,92516.0,75822.0,331432.0,1459401.5107,1168694.0,347520.592562584,103279.0,1123953.0,142359.0
United Kingdom,2006.0,1669360.719,1541537.0,351689.954028746,72513.2468418521,365193.0,89481.0,80929.0,339923.0,1891613.542,1176688.0,364073.141664953,108398.0,1132956.0,144259.0
United Kingdom,2007.0,1931405.8176,1583207.0,159822.872910011,63820.8057706979,370102.0,84351.0,86696.0,352778.0,2336321.0052,1213472.0,427836.907789924,117508.0,1170819.0,145432.0
United Kingdom,2008.0,1431330.7254,1582942.0,-352196.823827741,-108938.965238327,377632.0,74756.0,82539.0,339214.0,2065934.3902,1205574.0,215355.409242203,115195.0,1161330.0,149223.0
United Kingdom,2009.0,1585736.664,1552703.0,69609.9816076727,42019.0904940467,382915.0,59828.0,66440.0,296490.0,2533542.561,1169801.0,244892.088809751,102073.0,1122741.0,148523.0
United Kingdom,2010.0,1541432.003,1576292.0,-24593.7290075508,11591.8592899565,383508.0,64717.0,71216.0,310145.0,2452261.82,1193029.0,134193.106585195,101328.0,1145503.0,145799.0
United Kingdom,2011.0,1476737.3157,1572986.0,-83187.9705177274,-95552.9966487913,384209.0,63399.0,70995.0,308777.0,2499066.5648,1188950.0,70882.2991629159,100545.0,1141308.0,144330.0
United Kingdom,2012.0,1564844.214,1598621.0,55530.0798592164,111057.862769898,389496.0,60326.0,71161.0,311133.0,2499559.89,1209308.0,-114322.783933931,104808.0,1161218.0,144870.0
United Kingdom,2013.0,1510416.9644,1630053.0,-84587.8957400664,496.322413086749,389323.0,64835.0,70520.0,321785.0,2327224.824,1240932.0,108938.770485898,109193.0,1195083.0,140019.0
United Kingdom,2014.0,1539420.1616,1674223.0,72518.5350258083,38200.1048086408,397730.0,68662.0,80128.0,343158.0,2373394.6216,1276675.0,56897.3757389639,115581.0,1233497.0,141350.0
United Kingdom,2015.0,1461851.3749,1718988.0,221.370403981636,-27723.7689416418,402467.0,73609.0,84514.0,365569.0,2323733.3063,1316634.0,73103.350830033,127114.0,1272374.0,141378.0
