Country,Year,Portfolio_investment_assets,Real_Expenditure_GDP,Portfolio_investment_debt,Portfolio_investment_equity,Real_Public_GDP,Real_Priv_GDP,Real_Priv_GDP_Machine,Real_Expenditure_GDP_Gross_Fixed,Portfolio_investment_liab,Real_Priv_GDP_HH,Invest_net_liab,Real_Priv_GDP_Building,Real_Priv_GDP_HH_NP,Real_Public_GDP_Gov
Argentina,1997.0,28683.3046,,732.530999999999,837.926,,,,,63139.536794301,,10275.5999492252,,,
Argentina,1998.0,30219.3326,,1067.028,838.535,,,,,72000.4785471109,,10902.9768861464,,,
Argentina,1999.0,34379.0056,,2172.673,-167.321,,,,,74797.5033859903,,5993.15807121561,,,
Argentina,2000.0,35146.6736,,-203.032,1455.185,,,,,74801.5029458156,,1895.73249094479,,,
Argentina,2001.0,1182.28,,-1142.51,930.614,,,,,32059.0835253495,,-9746.34223386277,,,
Argentina,2002.0,813.287,,-463.93,-12.96,,,,,20932.3090177553,,-5001.34,,,
Argentina,2003.0,875.487,,61.29,33.86,,,,,28328.5531612179,,-7728.28,,,
Argentina,2004.0,943.487,366000.7,4.61,72.16,53918.8,46335.3,23584.3,77103.2,33750.6784758176,312081.9,-9252.69,,,
Argentina,2005.0,115.065581478531,394385.5,-1372.68,4.37,59232.7,50419.8,28322.7,89307.4,31297.4462661287,335152.8,-1682.69,,,
Argentina,2006.0,15595.9731660654,433310.6,859.2356,401.758,61437.7,56373.0,33905.6,102232.6,55884.0663406476,371872.9,7793.7346598166,,,
Argentina,2007.0,14316.3725874859,472849.6,-215.8091998835,1389.358,66248.1,62271.2,47043.9,123142.5,58026.1620787884,406601.5,6856.57668608988,,,
Argentina,2008.0,12935.4790089064,505628.9,1629.18384922957,526.38,69570.5,65214.3,53666.8,133850.3,22467.6201003719,436058.4,-5192.40343844887,,,
Argentina,2009.0,14419.1714303269,486011.8,-337.466085693903,983.0,73490.3,53144.9,40131.1,103636.4,41244.4868674613,412521.5,-1295.69135777158,,,
Argentina,2010.0,12966.584165941,536172.3,-1226.41271332678,640.0,77497.1,61385.5,53463.2,130845.8,44809.5880957328,458675.2,2746.79722465905,,,
Argentina,2011.0,12621.9702731679,582681.9,-194.619915196837,-197.0,81034.8,67035.0,66101.0,153584.1,37031.6194353604,501647.2,-40.1900981533711,,,
Argentina,2012.0,12765.5463053881,590690.2,133.924915325646,131.0,83473.3,64928.9,59150.6,142717.7,35963.0633725794,507216.9,249.914308049641,,,
Argentina,2013.0,13501.8884052267,613590.8,380.076605381155,116.482231911822,87916.3,65429.3,59098.8,146056.6,40665.2805272067,525674.5,587.266973195784,,,
Argentina,2014.0,13501.1220866106,593269.9,159.465244320132,-184.677434670988,90505.4,63819.0,55408.3,136189.6,48577.9315066891,502764.4,-2582.54218071329,,,
Argentina,2015.0,14321.5216787684,617938.5,269.072630132837,-176.390040007803,96792.0,65283.9,58662.2,140905.2,50107.9788044942,521146.5,290.809851584495,,,
Australia,1997.0,9512.44994573998,731902.0,-488.724197022959,651.212717563214,205668.0,62422.0,32173.0,215178.0,142876.032189,527933.0,4305.54533555399,44437.0,,
Australia,1998.0,12007.8841956,765974.0,1450.01356823284,2365.67795222118,213188.0,70984.0,31525.0,225533.0,135633.22650937,554212.0,-3330.72632815896,56969.0,,
Australia,1999.0,15814.1144,803074.0,3777.8562626231,6733.70664429622,219853.0,73962.0,32912.0,237271.0,153954.8626,584149.0,13282.0664611773,54636.0,,
Australia,2000.0,16974.56,831264.0,3573.42148612404,7449.7593088707,228214.0,74996.0,37064.0,242118.0,156957.064,604098.0,15580.5976968279,52748.0,,
Australia,2001.0,19786.2606,854790.0,5116.69037868488,4978.96047545222,233715.0,67268.0,36089.0,234259.0,157969.428,622009.0,9078.42142495844,42972.0,,
