Country,Year,Domestic credit to private sector (% of GDP),GDP growth (annual %),Gross capital formation (annual % growth),Gross fixed capital formation (annual % growth),GDP per capita (constant LCU),GDP (constant LCU),GDP per capita (constant 2015 US$),Gross fixed capital formation (constant LCU),GDP per capita (current LCU),General government final consumption expenditure (% of GDP),Trade (% of GDP),"Inflation, GDP deflator (annual %)"
Australia,1997.0,75.323737,3.912835473,..,6.637866446,56708.83688,1.04475E+12,41550.5511,2.00685E+11,30213.69387,18.26498128,37.98335693,1.274310536
Australia,1998.0,79.11335216,4.613356892,..,9.743129781,58736.64201,1.09295E+12,43036.32342,2.20238E+11,31665.58324,18.25939377,39.99405994,1.187133418
Australia,1999.0,84.11115702,4.956324506,..,4.439288406,60977.08389,1.14712E+12,44677.89465,2.30015E+11,33031.00573,18.67480544,39.05611309,0.479338835
Australia,2000.0,87.60312764,3.901171371,..,8.093819968,62634.94675,1.19187E+12,45892.61037,2.48632E+11,34797.77655,18.46970521,40.96698683,2.560383552
Australia,2001.0,88.42232662,2.041417338,..,-7.943064449,63098.20318,1.2162E+12,46232.03825,2.28883E+11,36674.81016,18.47598515,44.25035649,4.620333415
Australia,2002.0,91.26741235,3.993589865,..,9.124312422,64875.8849,1.26477E+12,47534.54521,2.49767E+11,38780.50044,18.29031499,41.47167985,2.844064555
Australia,2003.0,99.18584056,3.111398208,..,12.56651199,66129.42508,1.30412E+12,48453.0138,2.81154E+11,40703.04269,18.35506432,40.2223014,2.967937546
Australia,2004.0,102.6672703,4.216633273,..,8.735426137,68184.91724,1.35911E+12,49959.07241,3.05714E+11,43326.74684,18.24448253,37.02971214,3.23706174
Australia,2005.0,108.4935712,3.15375271,..,6.093930929,69484.30587,1.40197E+12,50911.13414,3.24344E+11,45840.96502,18.3239524,39.18259407,3.824360396
Australia,2006.0,113.6789572,2.740635704,..,8.273623067,70431.73413,1.4404E+12,51605.3146,3.51179E+11,48843.85412,18.23949048,41.58778021,5.117377115
Australia,2007.0,120.5936368,3.777916783,..,4.519347683,71770.74752,1.49481E+12,52586.40939,3.6705E+11,52251.95656,18.10529237,42.03654561,4.98168606
Australia,2008.0,121.7625535,3.568270032,..,8.762021523,72857.0051,1.54815E+12,53382.31006,3.99211E+11,55491.64465,18.02200393,42.86407277,4.616742737
Australia,2009.0,122.5249389,1.870486961,..,1.524256596,72705.89291,1.57711E+12,53271.59019,4.05296E+11,58144.99245,18.35361594,45.74675662,4.999305011
Australia,2010.0,125.2256151,2.20656631,..,1.747858355,73163.09417,1.61191E+12,53606.58144,4.1238E+11,59188.08084,18.75566039,40.52033064,1.157826189
Australia,2011.0,122.1812332,2.391385132,..,3.599835104,73878.97166,1.65046E+12,54131.10471,4.27225E+11,63491.56115,18.58131998,41.84255109,6.231415874
Australia,2012.0,121.2256762,3.902007806,..,11.60255135,75433.24346,1.71486E+12,55269.91928,4.76794E+11,65989.76443,18.81665885,43.1667351,1.793168355
Australia,2013.0,124.7668125,2.578754288,..,2.891395445,76058.07629,1.75908E+12,55727.73415,4.9058E+11,66434.16768,18.77073709,41.27489915,-0.15361047
Australia,2014.0,128.5014298,2.579017112,..,-1.888988544,76864.54828,1.80445E+12,56318.63598,4.81313E+11,68095.85884,18.68913804,42.47174241,1.425804433
Australia,2015.0,136.4262119,2.152735906,..,-3.692191983,77397.2702,1.84329E+12,56708.9612,4.63542E+11,68160.28472,19.09844422,41.62310841,-0.594336116
Austria,1997.0,..,2.09359939,1.76607537,0.740084526,31744.46015,2.52941E+11,35220.88774,64511210000,23685.08897,19.60079112,74.86769022,1.266995537
Austria,1998.0,..,3.581425815,2.839248122,3.429915514,32845.30404,2.62E+11,36442.28823,66723890000,24614.74285,19.55305467,76.92714939,0.441905227
Austria,1999.0,..,3.556331247,3.418190873,1.225722901,33947.27866,2.71318E+11,37664.94328,67541740000,25505.79531,19.84366687,78.26014034,0.256349694
Austria,2000.0,..,3.375722147,2.505189703,5.828588366,35008.9583,2.80477E+11,38842.89052,71478470000,26662.26303,19.21971656,85.36049562,1.364040914
Austria,2001.0,89.71336188,1.267168189,-0.852776571,-1.110558186,35317.12784,2.84031E+11,39184.8086,70684660000,27420.67219,18.97616815,87.53666476,1.947105394
Austria,2002.0,88.52152557,1.651553922,-3.82945508,-2.865713721,35724.22001,2.88722E+11,39636.48261,68659040000,28054.49472,18.83869652,86.948168,1.145595667
Austria,2003.0,87.80636589,0.941470921,4.648188246,3.84274234,35885.31714,2.9144E+11,39815.22195,71297430000,28549.48696,18.97963991,86.38738242,1.307552579
Austria,2004.0,87.76584573,2.735120222,1.664441204,0.940608939,36638.80515,2.99411E+11,40651.22662,71968060000,29656.05339,18.89135907,90.79234569,1.73971885
Austria,2005.0,94.32410576,2.244065325,1.564549258,0.252778802,37206.66168,3.0613E+11,41281.27076,72149980000,30879.95995,19.34627342,94.03380568,2.537794158
Austria,2006.0,94.43760642,3.454041836,2.225561818,1.15071411,38301.80921,3.16704E+11,42496.35105,72980220000,32390.38314,19.25829027,98.08831121,1.892161069
Austria,2007.0,92.91988389,3.727415301,7.459436277,4.644313213,39600.90348,3.28509E+11,43937.71289,76369650000,34232.82684,18.74479207,100.7332541,2.221175867
Austria,2008.0,95.81296636,1.460423676,-0.540403155,1.606894886,40053.66343,3.33306E+11,44440.05589,77596830000,35301.57438,19.27213096,102.0736827,1.956322281
Austria,2009.0,97.73957467,-3.764578178,-10.35672131,-7.177638571,38444.97211,3.20759E+11,42655.19213,72027210000,34523.89653,20.68421348,87.06223097,1.889264178
Austria,2010.0,98.52832394,1.837093677,-0.178184584,-2.586536394,39057.23794,3.26651E+11,43334.50896,70164200000,35379.92903,20.49254767,99.01979624,0.873054962
Austria,2011.0,96.06109929,2.922797284,8.805649935,6.64982997,40063.52749,3.36199E+11,44451.00019,74830000000,36956.84623,19.89656809,105.1027886,1.833410245
Austria,2012.0,94.22379903,0.680445577,-0.702341518,0.905906722,40152.64904,3.38486E+11,44549.8817,75507890000,37799.92648,19.86069237,105.1521774,2.054235685
Austria,2013.0,92.55775212,0.025504712,-0.734698462,1.564088203,39926.87112,3.38573E+11,44299.37818,76688900000,38197.75484,19.91594275,104.0664141,1.62388807
Austria,2014.0,87.55558785,0.661272849,0.7034231,-0.402952709,39878.01234,3.40812E+11,44245.16874,76379880000,38981.06632,19.80284204,103.5035353,2.175707237
Austria,2015.0,85.89120788,1.014501586,3.241584004,2.301522338,39833.53233,3.44269E+11,44195.81759,78137780000,39833.53233,19.76169058,102.4273154,2.300978667
Belgium,1997.0,..,3.79365763,7.67936209,6.699101304,29566.45283,3.01023E+11,32804.36054,64872200000,22011.20786,21.15139792,125.6889401,0.75762441
Belgium,1998.0,..,1.961808272,1.535928255,2.251966173,30082.18753,3.06929E+11,33376.57484,66333100000,22799.53128,21.09491806,124.7091226,1.805643501
Belgium,1999.0,..,3.542743464,3.811360631,4.095240536,31076.61636,3.17803E+11,34479.90645,69049600000,23694.27656,21.28203985,125.1699905,0.598897783
Belgium,2000.0,..,3.716679384,7.189729001,4.969181574,32153.56176,3.29614E+11,35674.79125,72480800000,25009.28179,21.04019715,142.2301351,2.014617387
Belgium,2001.0,66.29922874,1.099618888,-2.703878446,1.626085805,32395.51182,3.33239E+11,35943.23796,73659400000,25697.08853,21.31360634,139.5768398,1.982802721
Belgium,2002.0,64.13292449,1.706884585,-4.714023168,-4.130362181,32801.09864,3.38927E+11,36393.24177,70617000000,26445.52267,22.13888154,136.0851495,1.640007795
Belgium,2003.0,62.53089436,1.037982549,0.303003838,-0.131979552,33003.11397,3.42445E+11,36617.38038,70523800000,27100.67421,22.48437234,132.7155528,1.850088683
Belgium,2004.0,61.84259333,3.571204343,10.61884607,9.029859423,34034.10779,3.54674E+11,37761.28132,76892000000,28482.46789,22.19721265,136.9184053,1.914990948
Belgium,2005.0,63.59777008,2.321737054,8.16133495,5.737788066,34633.26315,3.62909E+11,38426.05191,81303900000,29587.64501,22.09399763,144.5290507,2.083074213
Belgium,2006.0,65.8336191,2.552349944,3.692648499,1.90544365,35283.73928,3.72171E+11,39147.76356,82853100000,30826.01391,21.93878853,149.5675093,2.264707144
Belgium,2007.0,68.44384869,3.676881136,8.726584543,7.281924273,36313.43817,3.85856E+11,40290.22776,88886400000,32338.47182,21.61589482,152.4684469,1.931721117
Belgium,2008.0,62.75830286,0.446928735,2.035890933,1.906928394,36188.71868,3.8758E+11,40151.84987,90581400000,32842.57579,22.66614469,161.0884478,1.908845425
Belgium,2009.0,58.67877652,-2.020743062,-8.733766791,-6.622662048,35173.29192,3.79748E+11,39025.22079,84582500000,32091.23555,24.19191348,135.4060405,0.533179398
Belgium,2010.0,56.80149342,2.864292708,2.220629699,0.006975438,35851.70178,3.90625E+11,39777.92528,84588400000,33329.10226,23.73268609,149.9976731,1.89207786
Belgium,2011.0,55.42096956,1.694513899,7.748286982,5.220219321,35987.95064,3.97245E+11,39929.09514,89004100000,34060.41022,24.04942657,161.4937237,1.807299468
Belgium,2012.0,54.73869728,0.739217283,-1.85436044,0.648734159,36029.84154,4.00181E+11,39975.57364,89581500000,34768.80024,24.30335286,160.7460302,1.961119341
Belgium,2013.0,56.40806353,0.459242193,-3.78596619,-2.269665054,36025.1042,4.02019E+11,39970.3175,87548300000,35206.1718,24.31276726,157.850845,1.271258155
Belgium,2014.0,57.89009668,1.578533143,5.411279127,5.356471799,36431.68199,4.08365E+11,40421.42079,92237800000,35953.36343,24.23389585,158.7832159,0.982645555
Belgium,2015.0,60.63286564,2.041459009,5.505221254,3.741524624,36960.63116,4.16701E+11,41008.29672,95688900000,36960.63116,23.61508745,154.1925465,1.330386128
Chile,1997.0,..,7.391739268,9.079804644,12.98472213,5919918.358,8.76698E+13,8127.507313,1.57879E+13,2427326.865,11.43764382,54.09929818,3.330580503
Chile,1998.0,..,4.180886627,3.454667043,3.537509102,6090333.22,9.13352E+13,8361.471358,1.63464E+13,2516654.53,11.80758644,53.83617852,0.778990207
Chile,1999.0,..,-0.273631398,-15.52976582,-13.51680771,6001764.207,9.10852E+13,8239.874191,1.41369E+13,2534313.807,12.6522046,54.69560983,2.187767871
Chile,2000.0,..,4.971621488,14.30204174,9.833347962,6228172.178,9.56136E+13,8550.71166,1.5527E+13,2749842.537,12.59092587,58.71192309,4.560043487
Chile,2001.0,73.08169596,3.154034925,3.287844546,2.242628611,6353354.485,9.86293E+13,8722.575536,1.58752E+13,2925091.417,12.64309768,62.14476697,4.277146982
Chile,2002.0,74.34609828,3.202799135,3.461612235,4.429381593,6485892.493,1.01788E+14,8904.538118,1.65784E+13,3085867.924,12.74859387,62.4838519,3.340660372
Chile,2003.0,75.83206214,4.723245269,9.633772937,8.548614441,6721431.99,1.06596E+14,9227.912338,1.79956E+13,3335454.022,12.17818844,65.69341959,4.300300884
Chile,2004.0,76.74998578,6.674254168,6.743801155,13.26481913,7098930.468,1.1371E+14,9746.183277,2.03827E+13,3770251.676,11.43020951,69.88936005,7.024761707
