Country,Year,Domestic credit to private sector (% of GDP),GDP growth (annual %),Gross capital formation (annual % growth),Gross fixed capital formation (annual % growth),GDP per capita (constant LCU),GDP (constant LCU),GDP per capita (constant 2015 US$),Gross fixed capital formation (constant LCU),GDP per capita (current LCU),General government final consumption expenditure (% of GDP),Trade (% of GDP),"Inflation, GDP deflator (annual %)",Country Code,Banking_crisis_dummy,Regulatory_Quality,Portfolio_investment_assets,Real_Expenditure_GDP,Portfolio_investment_debt,Portfolio_investment_equity,Real_Public_GDP,Real_Priv_GDP,Real_Priv_GDP_Machine,Real_Expenditure_GDP_Gross_Fixed,Portfolio_investment_liab,Real_Priv_GDP_HH,Invest_net_liab,Real_Priv_GDP_Building,Real_Priv_GDP_HH_NP,Real_Public_GDP_Gov,five_yr_CDS,hci,General government gross debt,Total investment
Australia,1997.0,75.323737,3.912835473,..,6.637866446,56708.83688,1.04475E+12,41550.5511,2.00685E+11,30213.69387,18.26498128,37.98335693,1.274310536,AUS,0.0,1.3999041318893433,9512.44994573998,731902.0,-488.724197022959,651.212717563214,205668.0,62422.0,32173.0,215178.0,142876.032189,527933.0,4305.54533555399,44437.0,,,,3.4998748302459717,25.925,24.422
Australia,1998.0,79.11335216,4.613356892,..,9.743129781,58736.64201,1.09295E+12,43036.32342,2.20238E+11,31665.58324,18.25939377,39.99405994,1.187133418,AUS,0.0,1.43221116065979,12007.8841956,765974.0,1450.01356823284,2365.67795222118,213188.0,70984.0,31525.0,225533.0,135633.22650937,554212.0,-3330.72632815896,56969.0,,,,3.5127477645874023,23.756,26.17
Australia,1999.0,84.11115702,4.956324506,..,4.439288406,60977.08389,1.14712E+12,44677.89465,2.30015E+11,33031.00573,18.67480544,39.05611309,0.479338835,AUS,0.0,1.503912329673767,15814.1144,803074.0,3777.8562626231,6733.70664429622,219853.0,73962.0,32912.0,237271.0,153954.8626,584149.0,13282.0664611773,54636.0,,,,3.525667667388916,22.576,26.352
Australia,2000.0,87.60312764,3.901171371,..,8.093819968,62634.94675,1.19187E+12,45892.61037,2.48632E+11,34797.77655,18.46970521,40.96698683,2.560383552,AUS,0.0,1.575613498687744,16974.56,831264.0,3573.42148612404,7449.7593088707,228214.0,74996.0,37064.0,242118.0,156957.064,604098.0,15580.5976968279,52748.0,,,,3.538635492324829,19.57,24.97
Australia,2001.0,88.42232662,2.041417338,..,-7.943064449,63098.20318,1.2162E+12,46232.03825,2.28883E+11,36674.81016,18.47598515,44.25035649,4.620333415,AUS,0.0,1.4983845353126526,19786.2606,854790.0,5116.69037868488,4978.96047545222,233715.0,67268.0,36089.0,234259.0,157969.428,622009.0,9078.42142495844,42972.0,,,4.0,3.5275118350982666,17.18,23.521
Australia,2002.0,91.26741235,3.993589865,..,9.124312422,64875.8849,1.26477E+12,47534.54521,2.49767E+11,38780.50044,18.29031499,41.47167985,2.844064555,AUS,0.0,1.421155571937561,26696.3299999999,886597.0,4971.99859090729,12150.5887391584,238565.0,83398.0,40842.0,268978.0,186008.5902,648422.0,16998.6118780643,52706.0,,,4.75,3.516423463821411,15.063,25.243
Australia,2003.0,99.18584056,3.111398208,..,12.56651199,66129.42508,1.30412E+12,48453.0138,2.81154E+11,40703.04269,18.35506432,40.2223014,2.967937546,AUS,0.0,1.5752631425857544,37368.7500000001,923494.0,4750.33352528676,3618.79759772679,250357.0,89443.0,47666.0,292949.0,262756.500000001,673854.0,37184.0965646772,58442.0,,,4.0,3.5053696632385254,13.22,26.754
Australia,2004.0,102.6672703,4.216633273,..,8.735426137,68184.91724,1.35911E+12,49959.07241,3.05714E+11,43326.74684,18.24448253,37.02971214,3.23706174,AUS,0.0,1.7112195491790771,53376.301,972985.0,14310.5619183872,11050.0223552437,259083.0,95146.0,55064.0,314514.0,336516.315,714008.0,65891.1046030875,61056.0,,,3.416666666666667,3.4943506717681885,11.943,27.177
Australia,2005.0,108.4935712,3.15375271,..,6.093930929,69484.30587,1.40197E+12,50911.13414,3.24344E+11,45840.96502,18.3239524,39.18259407,3.824360396,AUS,0.0,1.5995129346847534,63101.8684999999,1002856.0,14930.0233745545,14878.9692502599,266525.0,91953.0,63302.0,340385.0,362263.641299999,736420.0,52860.6133483108,72574.0,,,2.0,3.4833664894104004,10.893,27.911
Australia,2006.0,113.6789572,2.740635704,..,8.273623067,70431.73413,1.4404E+12,51605.3146,3.51179E+11,48843.85412,18.23949048,41.58778021,5.117377115,AUS,0.0,1.6237622499465942,93377.3565,1044017.0,27658.4734173891,25393.9243515622,275827.0,87330.0,66313.0,354437.0,475245.2844,768037.0,91314.3290279518,80375.0,,,2.0,3.472416639328003,9.967,27.3
Australia,2007.0,120.5936368,3.777916783,..,4.519347683,71770.74752,1.49481E+12,52586.40939,3.6705E+11,52251.95656,18.10529237,42.03654561,4.98168606,AUS,0.0,1.6842159032821655,132133.3264,1096131.0,33422.670968183,51470.7004054609,282574.0,88912.0,74345.0,383867.0,552009.432000001,812767.0,47343.6041642291,91322.0,,,2.25,3.461501359939575,9.683,28.685
Australia,2008.0,121.7625535,3.568270032,..,8.762021523,72857.0051,1.54815E+12,53382.31006,3.99211E+11,55491.64465,18.02200393,42.86407277,4.616742737,AUS,0.0,1.7660175561904907,98619.3872000002,1122565.0,202.919884404821,-4096.25664892914,294347.0,90072.0,80182.0,411319.0,476716.372800001,827792.0,9176.88487654896,102264.0,,,35.33333333333334,3.450620174407959,11.744,28.883
Australia,2009.0,122.5249389,1.870486961,..,1.524256596,72705.89291,1.57711E+12,53271.59019,4.05296E+11,58144.99245,18.35361594,45.74675662,4.999305011,AUS,0.0,1.8169275522232056,148030.6543,1144103.0,32884.0508708037,38516.021717775,301439.0,85897.0,75584.0,402091.0,656922.745299998,842358.0,112758.971874879,97888.0,,,71.83333333333333,3.4397735595703125,16.747,27.667
Australia,2010.0,125.2256151,2.20656631,..,1.747858355,73163.09417,1.61191E+12,53606.58144,4.1238E+11,59188.08084,18.75566039,40.52033064,1.157826189,AUS,0.0,1.695976734161377,190188.3494,1185822.0,28787.2490587687,20108.3434827842,308556.0,89866.0,71705.0,419195.0,783652.6692,876773.0,104529.543950101,98051.0,,,48.33333333333334,3.4289608001708984,20.481,27.086
Australia,2011.0,122.1812332,2.391385132,..,3.599835104,73878.97166,1.65046E+12,54131.10471,4.27225E+11,63491.56115,18.58131998,41.84255109,6.231415874,AUS,0.0,1.852122783660889,198752.92,1226865.0,22639.5948038823,33089.9920888652,321510.0,91001.0,79900.0,449278.0,873998.9544,904927.0,83165.3943110371,126603.0,,,65.83333333333333,3.442167043685913,24.201,27.491
Australia,2012.0,121.2256762,3.902007806,..,11.60255135,75433.24346,1.71486E+12,55269.91928,4.76794E+11,65989.76443,18.81665885,43.1667351,1.793168355,AUS,0.0,1.7788971662521362,230366.7,1256700.0,28379.8436464381,18170.7322903665,326984.0,85519.0,85892.0,494348.0,923805.844,929099.0,45737.5828788895,162414.0,,,65.7675,3.4554243087768555,27.798,29.07
Australia,2013.0,124.7668125,2.578754288,..,2.891395445,76058.07629,1.75908E+12,55727.73415,4.9058E+11,66434.16768,18.77073709,41.27489915,-0.15361047,AUS,0.0,1.79121994972229,217863.580499999,1277806.0,14986.0297680127,17391.8068390793,332227.0,88768.0,76041.0,483653.0,877481.635499997,944940.0,65637.1151986599,169005.0,,,45.23090909090909,3.4687328338623047,30.829,27.582
Australia,2014.0,128.5014298,2.579017112,..,-1.888988544,76864.54828,1.80445E+12,56318.63598,4.81313E+11,68095.85884,18.68913804,42.47174241,1.425804433,AUS,0.0,1.8573734760284424,233373.9666,1304427.0,28299.8079826562,22554.4795838517,334429.0,97268.0,73808.0,472263.0,884028.7842,969304.0,61081.1542709701,153691.0,,,37.89975,3.4820923805236816,34.323,26.849
Australia,2015.0,136.4262119,2.152735906,..,-3.692191983,77397.2702,1.84329E+12,56708.9612,4.63542E+11,68160.28472,19.09844422,41.62310841,-0.594336116,AUS,0.0,1.783806562423706,237287.921000001,1341214.0,30318.9429198241,4019.43647149173,347802.0,106061.0,69367.0,453408.0,859544.324600003,992783.0,62796.3804710292,132864.0,,,38.43749999999999,3.4955034255981445,37.638,26.058
Austria,1997.0,..,2.09359939,1.76607537,0.740084526,31744.46015,2.52941E+11,35220.88774,64511210000,23685.08897,19.60079112,74.86769022,1.266995537,AUT,0.0,1.5025867223739624,,174952.46486988,,,48526.107730538,,,58755.363470485,,126455.65918281,,,,,,3.0706663131713867,63.194,26.323
Austria,1998.0,..,3.581425815,2.839248122,3.429915514,32845.30404,2.62E+11,36442.28823,66723890000,24614.74285,19.55305467,76.92714939,0.441905227,AUT,0.0,1.346461296081543,,180086.08222306,,,49989.360108558,,,60770.622797412,,130129.54514982,,,,,,3.086043357849121,63.606,26.225
Austria,1999.0,..,3.556331247,3.418190873,1.225722901,33947.27866,2.71318E+11,37664.94328,67541740000,25505.79531,19.84366687,78.26014034,0.256349694,AUT,0.0,1.4109684228897097,,184841.33547258,,,51618.951241955,,,61515.502237968,,133275.47372799,,,,,,3.1014976501464844,66.426,26.202
Austria,2000.0,..,3.375722147,2.505189703,5.828588366,35008.9583,2.80477E+11,38842.89052,71478470000,26662.26303,19.21971656,85.36049562,1.364040914,AUT,0.0,1.475475549697876,,189161.75868262,,,51738.596972688,,,65100.987644847,,137428.91225819,,,,,,3.1170291900634766,65.864,26.009
Austria,2001.0,89.71336188,1.267168189,-0.852776571,-1.110558186,35317.12784,2.84031E+11,39184.8086,70684660000,27420.67219,18.97616815,87.53666476,1.947105394,AUT,0.0,1.506765902042389,,190775.17664707,,,51559.27014777,,,64378.00329722,,139189.28068819,,,,,,3.1332309246063232,66.484,25.206
Austria,2002.0,88.52152557,1.651553922,-3.82945508,-2.865713721,35724.22001,2.88722E+11,39636.48261,68659040000,28054.49472,18.83869652,86.948168,1.145595667,AUT,0.0,1.538056254386902,,192133.23239326,,,51970.232790347,,,62533.114023665,,140138.51678259,,,,,,3.1495168209075928,66.291,23.667
Austria,2003.0,87.80636589,0.941470921,4.648188246,3.84274234,35885.31714,2.9144E+11,39815.22195,71297430000,28549.48696,18.97963991,86.38738242,1.307552579,AUT,0.0,1.5371360778808594,,195119.66700984,,,52499.633821981,,,64936.100472483,,142580.92308715,,,,,,3.1658871173858643,65.492,24.472
Austria,2004.0,87.76584573,2.735120222,1.664441204,0.940608939,36638.80515,2.99411E+11,40651.22662,71968060000,29656.05339,18.89135907,90.79234569,1.73971885,AUT,0.0,1.514102816581726,,199251.19189384,,,53306.906369527,,,65546.895238295,,145890.06682675,,,,,,3.182343006134033,64.802,24.111
Austria,2005.0,94.32410576,2.244065325,1.564549258,0.252778802,37206.66168,3.0613E+11,41281.27076,72149980000,30879.95995,19.34627342,94.03380568,2.537794158,AUT,0.0,1.6049574613571167,220617.723335299,203737.46408716,38277.3559870282,5685.73310141274,54511.924826916,,,65712.583894927,291369.470952779,149170.29304885,24480.4495869884,,,,2.333333333333333,3.1988840103149414,68.315,23.886
Austria,2006.0,94.43760642,3.454041836,2.225561818,1.15071411,38301.80921,3.16704E+11,42496.35105,72980220000,32390.38314,19.25829027,98.08831121,1.892161069,AUT,0.0,1.6444110870361328,264848.7,208634.00377298,24790.3474323643,8712.07201623366,56293.512960031,,,66468.747869649,354350.703,152291.52218037,37602.3113537437,,,,2.13625,3.215510845184326,67.044,23.67
Austria,2007.0,92.91988389,3.727415301,7.459436277,4.644313213,39600.90348,3.28509E+11,43937.71289,76369650000,34232.82684,18.74479207,100.7332541,2.221175867,AUT,0.0,1.6911638975143433,304802.7213,211099.8601113,15488.5645698051,978.562103098638,57080.461922708,,,69555.764709168,430113.7617,153972.40102063,42682.5910918667,,,,2.8248,3.232224702835083,64.808,24.62
Austria,2008.0,95.81296636,1.460423676,-0.540403155,1.606894886,40053.66343,3.33306E+11,44440.05589,77596830000,35301.57438,19.27213096,102.0736827,1.956322281,AUT,1.0,1.6064517498016355,267562.6752,214620.10453586,-3812.5833817679,-7458.95982697949,59174.751549768,,,70673.452734919,449940.7851,155429.47135064,31177.8368566169,,,,41.8459,3.2490248680114746,68.518,24.535
Austria,2009.0,97.73957467,-3.764578178,-10.35672131,-7.177638571,38444.97211,3.20759E+11,42655.19213,72027210000,34523.89653,20.68421348,87.06223097,1.889264178,AUT,1.0,1.4500185251235962,285257.5278,217379.88277841,-1348.69588343939,6332.1658742497,60628.262875633,,,65600.767731917,458725.9362,156751.63505833,-6183.89984007685,,,,107.5945,3.2659127712249756,79.726,22.845
Austria,2010.0,98.52832394,1.837093677,-0.178184584,-2.586536394,39057.23794,3.26651E+11,43334.50896,70164200000,35379.92903,20.49254767,99.01979624,0.873054962,AUT,1.0,1.450515866279602,268323.6582,218947.13,-1028.25482669563,9661.14544790759,60636.76,,,63903.98,442490.6472,158310.36,-757.292000865663,,,,79.46166666666667,3.282888174057007,82.39,22.654
Austria,2011.0,96.06109929,2.922797284,8.805649935,6.64982997,40063.52749,3.36199E+11,44451.00019,74830000000,36956.84623,19.89656809,105.1027886,1.833410245,AUT,1.0,1.3769768476486206,245983.329,221119.03741259,-9627.34984188982,-1788.85807790847,60679.273061421,,,68153.486014235,442878.6798,160439.76037276,11103.316404525,,,,110.4809166666667,3.293652296066284,82.193,24.175
Austria,2012.0,94.22379903,0.680445577,-0.702341518,0.905906722,40152.64904,3.38486E+11,44549.8817,75507890000,37799.92648,19.86069237,105.1521774,2.054235685,AUT,1.0,1.517164707183838,247544.5086,221990.62502549,-18909.2913946432,4400.01303248145,60710.471867898,,,68770.893025249,463398.3486,161277.13251208,-7782.61028034118,,,,119.2335,3.3044519424438477,81.624,24.006
Austria,2013.0,92.55775212,0.025504712,-0.734698462,1.564088203,39926.87112,3.38573E+11,44299.37818,76688900000,38197.75484,19.91594275,104.0664141,1.62388807,AUT,0.0,1.4822137355804443,253091.0529,222318.54898869,-1218.22152663167,4122.12915343908,61170.688562917,,,69846.530450315,469204.2975,161149.69483048,3906.01996602128,,,,35.62208333333334,3.315286874771118,80.799,23.261
Austria,2014.0,87.55558785,0.661272849,0.7034231,-0.402952709,39878.01234,3.40812E+11,44245.16874,76379880000,38981.06632,19.80284204,103.5035353,2.175707237,AUT,0.0,1.4821701049804688,239564.9979,223316.3630531,4911.41084461292,4732.6884594356,61684.458178465,,,69565.081963771,430631.5572,161639.07164784,-8075.78712369029,,,,31.75508333333333,3.326157331466675,84.254,22.758
Austria,2015.0,85.89120788,1.014501586,3.241584004,2.301522338,39833.53233,3.44269E+11,44195.81759,78137780000,39833.53233,19.76169058,102.4273154,2.300978667,AUT,0.0,1.398648381233215,208662.4194,224642.55143912,-4784.7932172421,5644.33645387466,62226.957037972,,,71166.137864672,366540.2499,162427.77029457,-16189.0095053315,,,,25.36483333333334,3.3370633125305176,86.193,22.407
Belgium,1997.0,..,3.79365763,7.67936209,6.699101304,29566.45283,3.01023E+11,32804.36054,64872200000,22011.20786,21.15139792,125.6889401,0.75762441,BEL,0.0,1.1100212335586548,135081.256771398,218689.28775336,,,67809.200917604,,,61612.346718463,77323.9436619718,150717.82001722,,,,,,2.922927141189575,123.206,22.295
Belgium,1998.0,..,1.961808272,1.535928255,2.251966173,30082.18753,3.06929E+11,33376.57484,66333100000,22799.53128,21.09491806,124.7091226,1.805643501,BEL,0.0,1.0058107376098633,155918.379152265,224671.22649508,,,68982.575603484,,,62999.835925257,73412.4860807821,155448.96629979,,,,,,2.939730644226074,118.197,22.416
Belgium,1999.0,..,3.542743464,3.811360631,4.095240536,31076.61636,3.17803E+11,34479.90645,69049600000,23694.27656,21.28203985,125.1699905,0.598897783,BEL,0.0,1.079390287399292,187357.9,229591.80452058,,,70627.472241807,,,65579.830743695,96642.52,158733.02031119,,,,,,2.956630229949951,114.417,22.713
Belgium,2000.0,..,3.716679384,7.189729001,4.969181574,32153.56176,3.29614E+11,35674.79125,72480800000,25009.28179,21.04019715,142.2301351,2.014617387,BEL,0.0,1.1529698371887207,172514.7,235757.32699479,,,72296.985765172,,,68838.611609157,112218.3,163204.3154837,,,,,,2.9736270904541016,108.769,23.782
Belgium,2001.0,66.29922874,1.099618888,-2.703878446,1.626085805,32395.51182,3.33239E+11,35943.23796,73659400000,25697.08853,21.31360634,139.5768398,1.982802721,BEL,0.0,1.2035751938819883,209998.807899999,238779.82967978,,,73832.825982633,,,69957.98650075,111488.8565,164743.74770291,,,,,,2.9924190044403076,107.591,22.592
Belgium,2002.0,64.13292449,1.706884585,-4.714023168,-4.130362181,32801.09864,3.38927E+11,36393.24177,70617000000,26445.52267,22.13888154,136.0851495,1.640007795,BEL,0.0,1.2541805505752563,246815.7398,242090.50542529,2157.43742127553,3552.46994954427,76263.290864184,,,67068.468284067,149534.133,165751.32038219,20635.5022132524,,,,,3.011329412460327,104.71,20.665
